4_6_direct-edge,direct_edge
4_7_na-pair-path,nonadjacent_path_pair
6_7_direct-edge,direct_edge
11_14_na-pair-path,nonadjacent_path_pair
18_19_direct-edge,direct_edge
33_34_direct-edge,direct_edge
44_46_direct-edge,direct_edge
1_44_root-child,root_child_relations
59_61_mutually_exclusive,mutually_exclusive
71_73_mutually_exclusive,mutually_exclusive
81_82_mutually_exclusive,mutually_exclusive
93_96_mutually_exclusive,mutually_exclusive
1_104_root-child,root_child_relations
112_117_mutually_exclusive,mutually_exclusive
126_129_mutually_exclusive,mutually_exclusive
